	title	type	umbrella-bioproject	Description	Accession	Sample	Organism
0	Assembly of NA18522 Haplotype 1	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA18522 haplotype1 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN33758796	NA18522	Homo sapiens
0	Assembly of NA19338 Haplotype 1	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA19338 haplotype1 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN37797091	NA19338	Homo sapiens
0	Assembly of NA19391 Haplotype 1	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA19391 haplotype1 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN37797092	NA19391	Homo sapiens
0	Assembly of NA19468 Haplotype 1	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA19468 haplotype1 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN37797093	NA19468	Homo sapiens
0	Assembly of NA18971 Haplotype 1	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA18971 haplotype1 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN33621961	NA18971	Homo sapiens
0	Assembly of NA18612 Haplotype 1	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA18612 haplotype1 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN33621960	NA18612	Homo sapiens
0	Assembly of NA18983 Haplotype 1	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA18983 haplotype1 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN33758798	NA18983	Homo sapiens
0	Assembly of NA18747 Haplotype 1	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA18747 haplotype1 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN33758797	NA18747	Homo sapiens
0	Assembly of NA19159 Haplotype 1	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA19159 haplotype1 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN37797089	NA19159	Homo sapiens
0	Assembly of NA19185 Haplotype 1	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA19185 haplotype1 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN37797090	NA19185	Homo sapiens
